season,draftOrder,pickOne,pickTwo,pickThree
2024,1,1,20,26
2024,2,2,16,29
2024,3,3,13,30
2024,4,4,18,25
2024,5,5,15,27
2024,6,6,19,22
2024,7,7,11,28
2024,8,8,17,21
2024,9,9,14,23
2024,10,10,12,24
2023,1,1,20,26
2023,2,2,16,29
2023,3,3,13,30
2023,4,4,18,25
2023,5,5,15,27
2023,6,6,19,22
2023,7,7,11,28
2023,8,8,17,21
2023,9,9,14,23
2023,10,10,12,24
2022,1,1,20,26
2022,2,2,16,29
2022,3,3,13,30
2022,4,4,18,25
2022,5,5,15,27
2022,6,6,19,22
2022,7,7,11,28
2022,8,8,17,21
2022,9,9,14,23
2022,10,10,12,24
2021,1,1,20,26
2021,2,2,16,29
2021,3,3,13,30
2021,4,4,18,25
2021,5,5,15,27
2021,6,6,19,22
2021,7,7,11,28
2021,8,8,17,21
2021,9,9,14,23
2021,10,10,12,24
2020,1,1,20,26
2020,2,2,16,29
2020,3,3,13,30
2020,4,4,18,25
2020,5,5,15,27
2020,6,6,19,22
2020,7,7,11,28
2020,8,8,17,21
2020,9,9,14,23
2020,10,10,12,24
2019,1,1,20,26
2019,2,2,16,29
2019,3,3,13,30
2019,4,4,18,25
2019,5,5,15,27
2019,6,6,19,22
2019,7,7,11,28
2019,8,8,17,21
2019,9,9,14,23
2019,10,10,12,24
2018,1,1,20,26
2018,2,2,16,29
2018,3,3,13,30
2018,4,4,18,25
2018,5,5,15,27
2018,6,6,19,22
2018,7,7,11,28
2018,8,8,17,21
2018,9,9,14,23
2018,10,10,12,24
2017,1,1,20,26
2017,2,2,16,29
2017,3,3,13,30
2017,4,4,18,25
2017,5,5,15,27
2017,6,6,19,22
2017,7,7,11,28
2017,8,8,17,21
2017,9,9,14,23
2017,10,10,12,24
