season,draftPick,playerId,team
2024,1,6,KC
2024,2,8,DAL
2024,3,3,SF
2024,4,7,DET
2024,5,1,BAL
2024,6,9,GB
2024,7,2,NYJ
2024,8,4,PHI
2024,9,5,BUF
2024,10,10,CIN
2024,11,2,HOU
2024,12,10,ATL
2024,13,3,MIA
2024,14,5,LA
2024,15,1,LAC
2024,16,8,JAX
2024,17,4,IND
2024,18,7,CLE
2024,19,9,TB
2024,20,6,LV
2024,21,4,PIT
2024,22,9,CHI
2024,23,5,ARI
2024,24,10,SEA
2024,25,7,NO
2024,26,6,TEN
2024,27,1,MIN
2024,28,2,WAS
2024,29,8,DEN
2024,30,3,NYG
2023,1,7,KC
2023,2,2,CIN
2023,3,9,SF
2023,4,5,PHI
2023,5,1,BAL
2023,6,3,BUF
2023,7,8,DAL
2023,8,10,NYJ
2023,9,6,LAC
2023,10,4,JAX
2023,11,8,MIA
2023,12,4,NYG
2023,13,9,DET
2023,14,6,SEA
2023,15,1,MIN
2023,16,2,NO
2023,17,10,DEN
2023,18,5,PIT
2023,19,3,GB
2023,20,7,TEN
2023,21,10,CLE
2023,22,3,CAR
2023,23,6,LV
2023,24,4,CHI
2023,25,5,NE
2023,26,7,ATL
2023,27,1,WAS
2023,28,8,TB
2023,29,2,HOU
2023,30,9,IND
2022,1,1,KC
2022,2,7,BAL
2022,3,3,NO
2022,4,2,SF
2022,5,10,DAL
2022,6,6,TB
2022,7,9,BUF
2022,8,5,SEA
2022,9,4,IND
2022,10,8,TEN
2022,11,9,PIT
2022,12,8,MIN
2022,13,3,GB
2022,14,4,NE
2022,15,10,PHI
2022,16,7,LA
2022,17,5,CLE
2022,18,2,LAC
2022,19,6,ATL
2022,20,1,ARI
2022,21,5,HOU
2022,22,6,CHI
2022,23,4,DEN
2022,24,8,LV
2022,25,2,DET
2022,26,1,MIA
2022,27,10,NYJ
2022,28,9,NYG
2022,29,7,CAR
2022,30,3,WAS
2021,1,1,KC
2021,2,7,BAL
2021,3,3,NO
2021,4,2,SF
2021,5,10,DAL
2021,6,6,TB
2021,7,9,BUF
2021,8,5,SEA
2021,9,4,IND
2021,10,8,TEN
2021,11,9,PIT
2021,12,8,MIN
2021,13,3,GB
2021,14,4,NE
2021,15,10,PHI
2021,16,7,LA
2021,17,5,CLE
2021,18,2,LAC
2021,19,6,ATL
2021,20,1,ARI
2021,21,5,HOU
2021,22,6,CHI
2021,23,4,DEN
2021,24,8,LV
2021,25,2,DET
2021,26,1,MIA
2021,27,10,NYJ
2021,28,9,NYG
2021,29,7,CAR
2021,30,3,WAS
2020,1,1,KC
2020,2,7,BAL
2020,3,3,NO
2020,4,2,SF
2020,5,10,DAL
2020,6,6,TB
2020,7,9,BUF
2020,8,5,SEA
2020,9,4,IND
2020,10,8,TEN
2020,11,9,PIT
2020,12,8,MIN
2020,13,3,GB
2020,14,4,NE
2020,15,10,PHI
2020,16,7,LA
2020,17,5,CLE
2020,18,2,LAC
2020,19,6,ATL
2020,20,1,ARI
2020,21,5,HOU
2020,22,6,CHI
2020,23,4,DEN
2020,24,8,LV
2020,25,2,DET
2020,26,1,MIA
2020,27,10,NYJ
2020,28,9,NYG
2020,29,7,CAR
2020,30,3,WAS
2019,1,8,KC
2019,2,4,PHI
2019,3,9,NE
2019,4,7,NO
2019,5,2,LA
2019,6,6,CLE
2019,7,10,MIN
2019,8,5,LAC
2019,9,1,SEA
2019,10,3,CHI
2019,11,10,PIT
2019,12,3,HOU
2019,13,9,GB
2019,14,1,JAX
2019,15,2,DAL
2019,16,4,NYJ
2019,17,5,ATL
2019,18,7,BAL
2019,19,6,SF
2019,20,8,BUF
2019,21,5,CAR
2019,22,6,TEN
2019,23,1,OAK
2019,24,3,DEN
2019,25,7,IND
2019,26,8,TB
2019,27,2,DET
2019,28,10,NYG
2019,29,4,ARI
2019,30,9,CIN
2018,1,4,NE
2018,2,3,PHI
2018,3,5,MIN
2018,4,6,PIT
2018,5,10,LA
2018,6,2,NO
2018,7,7,GB
2018,8,8,ATL
2018,9,1,JAX
2018,10,9,TEN
2018,11,7,LAC
2018,12,9,SF
2018,13,5,CAR
2018,14,1,KC
2018,15,10,HOU
2018,16,3,DAL
2018,17,8,BAL
2018,18,6,OAK
2018,19,2,SEA
2018,20,4,DEN
2018,21,8,TB
2018,22,2,DET
2018,23,1,NYG
2018,24,9,CHI
2018,25,6,BUF
2018,26,4,CIN
2018,27,10,IND
2018,28,7,ARI
2018,29,3,CLE
2018,30,5,WAS
2017,1,6,NE
2017,2,10,PIT
2017,3,8,SEA
2017,4,9,ATL
2017,5,4,GB
2017,6,5,OAK
2017,7,3,DAL
2017,8,1,TEN
2017,9,7,NYG
2017,10,2,KC
2017,11,3,ARI
2017,12,2,TB
2017,13,8,MIA
2017,14,7,HOU
2017,15,4,DEN
2017,16,10,PHI
2017,17,1,CAR
2017,18,9,LAC
2017,19,5,CIN
2017,20,6,BAL
2017,21,1,MIN
2017,22,5,DET
2017,23,7,IND
2017,24,2,NO
2017,25,9,SF
2017,26,6,WAS
2017,27,4,JAX
2017,28,3,LA
2017,29,10,CLE
2017,30,8,CHI
2014,1,8,NE
2014,2,10,DEN
2014,3,1,SF
2014,4,4,GB
2014,5,11,ATL
2014,6,9,SEA
2014,7,7,HOU
2014,8,3,BAL
2014,9,12,CHI
2014,10,2,NO
2014,11,7,CIN
2014,12,2,IND
2014,13,1,NYG
2014,14,12,WAS
2014,15,11,PIT
2014,16,10,CAR
2014,17,3,MIA
2014,18,4,DAL
2014,19,9,MIN
2014,20,8,DET
2014,21,3,KC
2014,22,9,TB
2014,23,12,SD
2014,24,2,PHI
2014,25,4,STL
2014,26,8,OAK
2014,27,11,CLE
2014,28,7,ARI
2014,29,10,TEN
2014,30,1,BUF
2013,1,2,NO
2013,2,8,NE
2013,3,10,DEN
2013,4,4,GB
2013,5,3,BAL
2013,6,7,HOU
2013,7,1,SF
2013,8,12,CHI
2013,9,9,SEA
2013,10,11,ATL
2013,11,2,IND
2013,12,8,DET
2013,13,10,CAR
2013,14,4,DAL
2013,15,3,MIA
2013,16,7,CIN
2013,17,1,NYG
2013,18,12,WAS
2013,19,9,MIN
2013,20,11,PIT
2013,21,2,PHI
2013,22,8,OAK
2013,23,10,TEN
2013,24,4,STL
2013,25,3,KC
2013,26,7,ARI
2013,27,1,BUF
2013,28,12,SD
2013,29,9,TB
2013,30,11,CLE
2021,1,6,KC
2021,2,2,TB
2021,3,8,BUF
2021,4,4,LA
2021,5,9,GB
2021,6,1,SF
2021,7,7,CLE
2021,8,5,LAC
2021,9,3,TEN
2021,10,10,NE
2021,11,7,BAL
2021,12,10,MIN
2021,13,8,DAL
2021,14,3,SEA
2021,15,9,PIT
2021,16,2,IND
2021,17,5,WAS
2021,18,4,NO
2021,19,1,MIA
2021,20,6,DEN
2021,21,5,ARI
2021,22,1,CHI
2021,23,3,CAR
2021,24,10,NYG
2021,25,4,PHI
2021,26,6,DET
2021,27,9,LV
2021,28,7,ATL
2021,29,2,NYJ
2021,30,8,JAX
