team,BR,FPI,SI,USA_Today_Nate_Davis,USA_Today_AI,Vegas_OU,PFF,Neil_Paine,Mike_Clay
ARI,2,5,2,2,5,3.5,4.33,4.3,3.6
ATL,5,7.8,6,6,11,6.5,7.36,6.8,5.7
BAL,12,10.8,11,10,12,11.5,10.8,9.9,11.5
BUF,12,10.7,10,11,13,10.5,10.82,10.4,10
CAR,7,6.7,10,6,8,7.5,7.01,7.1,5.9
CHI,10,9.2,10,12,9,9.5,9.13,9.5,9.3
CIN,11,10,9,11,11,9.5,9.36,9.8,10.7
CLE,3,5.8,5,5,4,5.5,6.07,5.9,6.2
DAL,10,9,12,11,9,8.5,8.84,9.3,10.1
DEN,11,9.1,10,12,13,9.5,9.77,9.6,10.9
DET,11,10.4,14,11,13,10.5,10.61,9.9,12
GB,9,10,10,10,12,9.5,9.92,9.5,9.5
HOU,13,9.2,13,12,12,9.5,9.85,9.6,9.5
IND,5,8.1,6,5,7,7.5,7.72,7.8,8.5
JAX,9,9,9,9,9,8.5,9.44,8.8,8.5
KC,10,9.8,9,11,9,10.5,9.7,9.7,9.9
LAC,10,9.7,11,9,11,10.5,9.89,9.1,9.5
LAR,13,11.1,13,14,11,11.5,11.13,11.5,13.3
LV,5,5.9,5,3,5,5.5,5.83,6.6,5.1
MIA,2,4.8,5,1,6,4.5,4.35,4.3,2.4
MIN,9,8.2,9,9,7,8.5,8.41,8.6,7.6
NE,10,9.3,9,10,10,9.5,9.77,9.6,10
NO,9,7.3,6,10,4,7.5,7.65,7.8,7.2
NYG,7,7.7,6,6,6,7.5,7.36,7.8,7.2
NYJ,5,5.5,4,3,8,5.5,5.44,5.6,7.3
PHI,10,9.7,9,8,12,10.5,9.99,10,11
PIT,9,8.4,6,7,10,8.5,8.28,8.2,8.6
SEA,11,10.3,11,14,13,10.5,10.96,10,11.2
SF,9,10.2,10,11,10,10.5,9.83,9.6,9.5
TB,8,8.5,7,8,10,8.5,8.32,8,9
TEN,7,6.5,6,6,6,6.5,6.37,6.6,4.8
WAS,8,7.6,9,9,11,7.5,7.66,7.8,6.4
