evaluated_at,model_version,season,week,games,correct,accuracy_pct,avg_prob_correct,avg_prob_wrong,brier_score,season_r2_ytd,season_mae_ytd
2026-05-11T02:42:49.057947+00:00,v2,2025,1,16,15,93.8,0.5655,0.6109,0.2011,,
2026-05-11T02:42:49.057947+00:00,v2,2025,2,16,10,62.5,0.619,0.5584,0.2126,,
2026-05-11T02:42:49.057947+00:00,v2,2025,3,16,12,75.0,0.613,0.6203,0.2121,,
2026-05-11T02:42:49.057947+00:00,v2,2025,4,16,10,62.5,0.5964,0.5834,0.2155,0.296,0.732
2026-05-11T02:42:49.057947+00:00,v2,2025,5,14,6,42.9,0.5793,0.6078,0.2906,0.2574,0.809
2026-05-11T02:42:49.057947+00:00,v2,2025,6,15,11,73.3,0.6127,0.615,0.2159,0.2532,0.935
2026-05-11T02:42:49.057947+00:00,v2,2025,7,15,10,66.7,0.5862,0.5785,0.2295,0.2515,1.092
2026-05-11T02:42:49.057947+00:00,v2,2025,8,13,10,76.9,0.6259,0.5629,0.183,0.3156,1.188
2026-05-11T02:42:49.057947+00:00,v2,2025,9,14,8,57.1,0.6072,0.5849,0.2413,0.3209,1.376
2026-05-11T02:42:49.057947+00:00,v2,2025,10,14,9,64.3,0.5759,0.6028,0.2484,0.3615,1.394
2026-05-11T02:42:49.057947+00:00,v2,2025,11,15,9,60.0,0.6179,0.5319,0.2038,0.3498,1.597
2026-05-11T02:42:49.057947+00:00,v2,2025,12,14,11,78.6,0.6108,0.5551,0.1899,0.3582,1.659
2026-05-11T02:42:49.057947+00:00,v2,2025,13,16,9,56.2,0.6248,0.5696,0.2248,0.3572,1.868
2026-05-11T02:42:49.057947+00:00,v2,2025,14,14,9,64.3,0.5955,0.5433,0.2132,0.3557,1.966
2026-05-11T02:42:49.057947+00:00,v2,2025,15,16,10,62.5,0.5975,0.5711,0.2302,0.3674,2.073
2026-05-11T02:42:49.057947+00:00,v2,2025,16,16,9,56.2,0.5738,0.6029,0.2653,0.3386,2.265
2026-05-11T02:42:49.057947+00:00,v2,2025,17,16,10,62.5,0.6336,0.6223,0.2363,0.3527,2.244
2026-05-11T02:42:49.057947+00:00,v2,2025,18,16,10,62.5,0.6219,0.5936,0.2263,0.368,2.298
2026-05-11T15:03:17.338608+00:00,v6,2025,1,16,13,81.2,0.5637,0.562,0.2159,,
2026-05-11T15:03:17.338608+00:00,v6,2025,2,16,11,68.8,0.6198,0.5563,0.2,,
2026-05-11T15:03:17.338608+00:00,v6,2025,3,16,12,75.0,0.5795,0.5662,0.2162,,
2026-05-11T15:03:17.338608+00:00,v6,2025,4,16,10,62.5,0.6118,0.5431,0.191,0.2847,0.752
2026-05-11T15:03:17.338608+00:00,v6,2025,5,14,4,28.6,0.5596,0.5758,0.2943,0.2189,0.834
2026-05-11T15:03:17.338608+00:00,v6,2025,6,15,10,66.7,0.5868,0.5447,0.2164,0.2122,0.967
2026-05-11T15:03:17.338608+00:00,v6,2025,7,15,11,73.3,0.568,0.5368,0.2178,0.2362,1.121
2026-05-11T15:03:17.338608+00:00,v6,2025,8,13,11,84.6,0.5984,0.6025,0.1971,0.3191,1.211
2026-05-11T15:03:17.338608+00:00,v6,2025,9,14,10,71.4,0.5733,0.6317,0.2535,0.3156,1.401
2026-05-11T15:03:17.338608+00:00,v6,2025,10,14,10,71.4,0.5706,0.574,0.2283,0.3735,1.415
2026-05-11T15:03:17.338608+00:00,v6,2025,11,15,11,73.3,0.5741,0.5478,0.2166,0.3513,1.617
2026-05-11T15:03:17.338608+00:00,v6,2025,12,14,10,71.4,0.6428,0.5526,0.1844,0.3684,1.682
2026-05-11T15:03:17.338608+00:00,v6,2025,13,16,11,68.8,0.5976,0.5834,0.2233,0.3557,1.885
2026-05-11T15:03:17.338608+00:00,v6,2025,14,14,8,57.1,0.6021,0.5775,0.2357,0.3475,2.008
2026-05-11T15:03:17.338608+00:00,v6,2025,15,16,11,68.8,0.644,0.58,0.2021,0.3754,2.079
2026-05-11T15:03:17.338608+00:00,v6,2025,16,16,9,56.2,0.5848,0.5603,0.2387,0.3474,2.289
2026-05-11T15:03:17.338608+00:00,v6,2025,17,16,8,50.0,0.6284,0.56,0.2291,0.3567,2.258
2026-05-11T15:03:17.338608+00:00,v6,2025,18,16,11,68.8,0.6635,0.5888,0.1953,0.389,2.279
2026-05-23T03:41:06.035230+00:00,v11,2025,1,16,11,68.8,0.5777,0.558,0.2244,,
2026-05-23T03:41:06.035230+00:00,v11,2025,2,16,13,81.2,0.6123,0.5522,0.1857,,
2026-05-23T03:41:06.035230+00:00,v11,2025,3,16,8,50.0,0.6235,0.5617,0.2329,,
2026-05-23T03:41:06.035230+00:00,v11,2025,4,16,11,68.8,0.6443,0.5336,0.1678,0.3614,0.701
2026-05-23T03:41:06.035230+00:00,v11,2025,5,14,7,50.0,0.6095,0.6071,0.2653,0.3406,0.76
2026-05-23T03:41:06.035230+00:00,v11,2025,6,15,10,66.7,0.6161,0.5991,0.2249,0.3385,0.869
2026-05-23T03:41:06.035230+00:00,v11,2025,7,15,11,73.3,0.6057,0.5771,0.2094,0.3457,1.015
2026-05-23T03:41:06.035230+00:00,v11,2025,8,13,10,76.9,0.6563,0.5635,0.1719,0.452,1.061
2026-05-23T03:41:06.035230+00:00,v11,2025,9,14,11,78.6,0.6085,0.7338,0.2434,0.4483,1.232
2026-05-23T03:41:06.035230+00:00,v11,2025,10,14,11,78.6,0.6015,0.579,0.2053,0.5347,1.196
2026-05-23T03:41:06.035230+00:00,v11,2025,11,15,11,73.3,0.6144,0.5637,0.1988,0.5122,1.392
2026-05-23T03:41:06.035230+00:00,v11,2025,12,14,11,78.6,0.6228,0.5498,0.1835,0.5347,1.419
2026-05-23T03:41:06.035230+00:00,v11,2025,13,16,10,62.5,0.6493,0.5841,0.2118,0.5342,1.597
2026-05-23T03:41:06.035230+00:00,v11,2025,14,14,9,64.3,0.6242,0.567,0.2122,0.535,1.668
2026-05-23T03:41:06.035230+00:00,v11,2025,15,16,10,62.5,0.6929,0.5536,0.1816,0.5594,1.795
2026-05-23T03:41:06.035230+00:00,v11,2025,16,16,9,56.2,0.6143,0.5688,0.2341,0.5214,2.02
2026-05-23T03:41:06.035230+00:00,v11,2025,17,16,6,37.5,0.648,0.5789,0.2611,0.5179,2.005
2026-05-23T03:41:06.035230+00:00,v11,2025,18,16,11,68.8,0.6819,0.6249,0.2025,0.5497,2.019
2026-05-28T02:32:58.093892+00:00,v13,2024,1,16,11,68.8,0.6856,0.566,0.1768,0.5333,,
2026-05-28T02:32:58.093892+00:00,v13,2024,2,16,9,56.2,0.6288,0.6186,0.2553,0.7184,,
2026-05-28T02:32:58.093892+00:00,v13,2024,3,16,9,56.2,0.6181,0.6741,0.2888,0.7847,,
2026-05-28T02:32:58.093892+00:00,v13,2024,4,16,8,50.0,0.5914,0.6017,0.2696,0.7327,0.2245,0.66
2026-05-28T02:32:58.093892+00:00,v13,2024,5,14,7,50.0,0.6445,0.6133,0.2571,0.7122,0.2008,0.748
2026-05-28T02:32:58.093892+00:00,v13,2024,6,14,12,85.7,0.6157,0.5512,0.1744,0.5358,0.2837,0.896
2026-05-28T02:32:58.093892+00:00,v13,2024,7,15,12,80.0,0.6537,0.5268,0.16,0.4994,0.3268,0.992
2026-05-28T02:32:58.093892+00:00,v13,2024,8,16,10,62.5,0.686,0.6059,0.209,0.6012,0.3744,1.135
2026-05-28T02:32:58.093892+00:00,v13,2024,9,15,12,80.0,0.6555,0.5604,0.1665,0.5125,0.3575,1.267
2026-05-28T02:32:58.093892+00:00,v13,2024,10,14,10,71.4,0.6564,0.6381,0.2062,0.6,0.4364,1.34
2026-05-28T02:32:58.093892+00:00,v13,2024,11,14,11,78.6,0.6315,0.6079,0.1907,0.569,0.4589,1.467
2026-05-28T02:32:58.093892+00:00,v13,2024,12,13,9,69.2,0.6391,0.6455,0.2233,0.6413,0.5122,1.431
2026-05-28T02:32:58.093892+00:00,v13,2024,13,16,12,75.0,0.6974,0.5589,0.157,0.4885,0.5156,1.653
2026-05-28T02:32:58.093892+00:00,v13,2024,14,13,10,76.9,0.6983,0.5707,0.1559,0.4841,0.5445,1.674
2026-05-28T02:32:58.093892+00:00,v13,2024,15,16,13,81.2,0.6634,0.5836,0.1613,0.5045,0.5575,1.824
2026-05-28T02:32:58.093892+00:00,v13,2024,16,16,10,62.5,0.7391,0.6014,0.1857,0.5435,0.5636,1.865
2026-05-28T02:32:58.093892+00:00,v13,2024,17,16,13,81.2,0.6588,0.55,0.1586,0.4965,0.5717,1.975
2026-05-28T02:32:58.093892+00:00,v13,2024,18,16,11,68.8,0.6513,0.69,0.2518,0.7055,0.5915,1.898
2026-05-28T02:35:45.043921+00:00,v13,2025,1,16,9,56.2,0.6541,0.5497,0.2018,0.5908,,
2026-05-28T02:35:45.043921+00:00,v13,2025,2,16,13,81.2,0.6407,0.5732,0.1761,0.5338,,
2026-05-28T02:35:45.043921+00:00,v13,2025,3,16,10,62.5,0.6447,0.6279,0.2316,0.6532,,
2026-05-28T02:35:45.043921+00:00,v13,2025,4,16,10,62.5,0.6778,0.5763,0.1783,0.5566,0.4034,0.665
2026-05-28T02:35:45.043921+00:00,v13,2025,5,14,5,35.7,0.6587,0.6365,0.3104,0.8317,0.3689,0.71
2026-05-28T02:35:45.043921+00:00,v13,2025,6,15,10,66.7,0.6734,0.6437,0.2174,0.6192,0.3537,0.829
2026-05-28T02:35:45.043921+00:00,v13,2025,7,15,9,60.0,0.6747,0.5454,0.188,0.5587,0.3777,0.955
2026-05-28T02:35:45.043921+00:00,v13,2025,8,13,11,84.6,0.682,0.693,0.1703,0.518,0.519,0.99
2026-05-28T02:35:45.043921+00:00,v13,2025,9,14,8,57.1,0.6693,0.659,0.2624,0.7431,0.514,1.148
2026-05-28T02:35:45.043921+00:00,v13,2025,10,14,10,71.4,0.6663,0.6474,0.2077,0.5979,0.6074,1.117
2026-05-28T02:35:45.043921+00:00,v13,2025,11,15,10,66.7,0.6613,0.5641,0.1865,0.5578,0.576,1.324
2026-05-28T02:35:45.043921+00:00,v13,2025,12,14,10,71.4,0.689,0.551,0.1663,0.5077,0.5899,1.341
2026-05-28T02:35:45.043921+00:00,v13,2025,13,16,9,56.2,0.7188,0.6418,0.231,0.6467,0.5825,1.504
2026-05-28T02:35:45.043921+00:00,v13,2025,14,14,8,57.1,0.6891,0.6327,0.2321,0.6564,0.5694,1.605
2026-05-28T02:35:45.043921+00:00,v13,2025,15,16,10,62.5,0.6936,0.6076,0.2091,0.5968,0.5824,1.749
2026-05-28T02:35:45.043921+00:00,v13,2025,16,16,8,50.0,0.641,0.6298,0.2732,0.7381,0.5169,2.01
2026-05-28T02:35:45.043921+00:00,v13,2025,17,16,9,56.2,0.6203,0.6313,0.2603,0.7169,0.5019,2.035
2026-05-28T02:35:45.043921+00:00,v13,2025,18,16,10,62.5,0.7214,0.6783,0.2313,0.6527,0.524,2.089
