season,model,feature,importance_rank,importance_value
2021,xgb,elo_diff,1,0.1322501003742218
2021,xgb,point_diff_advantage,2,0.08442055433988571
2021,xgb,roster_talent_delta,3,0.060781776905059814
2021,xgb,elo_confidence,4,0.05145125091075897
2021,xgb,home_qb_injury_flag,5,0.0402221716940403
2021,xgb,def_roster_value_delta,6,0.03640545904636383
2021,xgb,trench_dominance_metric,7,0.03584781289100647
2021,xgb,early_down_matchup,8,0.035507988184690475
2021,xgb,net_success_rate,9,0.03538241982460022
2021,xgb,pass_epa_matchup,10,0.035361871123313904
2021,xgb,div_game_flag,11,0.03521975874900818
2021,xgb,rush_epa_matchup,12,0.03432281315326691
2021,xgb,off_roster_value_delta,13,0.03311648964881897
2021,xgb,surface_type,14,0.032859764993190765
2021,xgb,qb_resilience_delta,15,0.03184538334608078
2021,xgb,week,16,0.030944308266043663
2021,xgb,turnover_margin_rolling,17,0.0308235976845026
2021,xgb,st_value_delta,18,0.030525097623467445
2021,xgb,market_implied_team_total,19,0.030349494889378548
2021,xgb,rest_advantage,20,0.02972516044974327
2021,xgb,net_travel_disadvantage,21,0.02960566058754921
2021,xgb,passing_difficulty_index,22,0.02839052490890026
2021,xgb,def_pressure_diff,23,0.02619209513068199
2021,xgb,qb_pressure_advantage,24,0.02433662861585617
2021,xgb,away_qb_injury_flag,25,0.024111831560730934
2021,xgb,home_field_advantage,26,0.0
2021,xgb,playoff_flag,27,0.0
2021,lr,elo_diff,1,0.46455618168585466
2021,lr,point_diff_advantage,2,0.18479445479948786
2021,lr,home_qb_injury_flag,3,0.11647219150868113
2021,lr,trench_dominance_metric,4,0.10363530162557953
2021,lr,def_roster_value_delta,5,0.08818126842180309
2021,lr,pass_epa_matchup,6,0.08565530245637377
2021,lr,div_game_flag,7,0.08182995162146933
2021,lr,rest_advantage,8,0.06610633587467474
2021,lr,net_success_rate,9,0.06045590691757071
2021,lr,surface_type,10,0.04999473837068324
2021,lr,turnover_margin_rolling,11,0.04126630739072008
2021,lr,elo_confidence,12,0.03705746970270102
2021,lr,week,13,0.033733094723003294
2021,lr,home_field_advantage,14,0.031966509179586114
2021,lr,st_value_delta,15,0.0313154665356483
2021,lr,def_pressure_diff,16,0.027833725746731118
2021,lr,qb_resilience_delta,17,0.025750409874969987
2021,lr,roster_talent_delta,18,0.024642077352528276
2021,lr,away_qb_injury_flag,19,0.018977085962360713
2021,lr,market_implied_team_total,20,0.01843252682812863
2021,lr,passing_difficulty_index,21,0.014675338659658194
2021,lr,qb_pressure_advantage,22,0.006461831946116598
2021,lr,rush_epa_matchup,23,0.0
2021,lr,early_down_matchup,24,0.0
2021,lr,net_travel_disadvantage,25,0.0
2021,lr,off_roster_value_delta,26,0.0
2021,lr,playoff_flag,27,0.0
2021,nn,elo_diff,1,0.014094233512878418
2021,nn,roster_talent_delta,2,0.009093105792999268
2021,nn,trench_dominance_metric,3,0.008021533489227295
2021,nn,def_pressure_diff,4,0.005706518888473511
2021,nn,point_diff_advantage,5,0.005207031965255737
2021,nn,off_roster_value_delta,6,0.004358142614364624
2021,nn,home_qb_injury_flag,7,0.0035723447799682617
2021,nn,elo_confidence,8,0.003554016351699829
2021,nn,surface_type,9,0.002463787794113159
2021,nn,early_down_matchup,10,0.0021680593490600586
2021,nn,rest_advantage,11,0.001608431339263916
2021,nn,qb_pressure_advantage,12,0.0014265179634094238
2021,nn,week,13,0.0014020204544067383
2021,nn,turnover_margin_rolling,14,0.0012030601501464844
2021,nn,qb_resilience_delta,15,0.000948101282119751
2021,nn,net_travel_disadvantage,16,0.0009341835975646973
2021,nn,rush_epa_matchup,17,0.0008212625980377197
2021,nn,st_value_delta,18,0.0005387365818023682
2021,nn,away_qb_injury_flag,19,0.00039896368980407715
2021,nn,home_field_advantage,20,0.00028783082962036133
2021,nn,playoff_flag,21,0.0
2021,nn,def_roster_value_delta,22,-8.52346420288086e-06
2021,nn,pass_epa_matchup,23,-6.717443466186523e-05
